0.091: [GC 0.091: [DefNew: 3909K->0K(4928K), 0.0000352 secs] 4077K->169K(15872K), 0.0000493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.092: [GC 0.092: [DefNew: 3909K->0K(4928K), 0.0000369 secs] 4077K->169K(15872K), 0.0000513 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.092: [GC 0.092: [DefNew: 3909K->0K(4928K), 0.0000332 secs] 4077K->169K(15872K), 0.0000472 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.093: [GC 0.093: [DefNew: 3909K->0K(4928K), 0.0000363 secs] 4077K->169K(15872K), 0.0000506 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.093: [GC 0.093: [DefNew: 3909K->0K(4928K), 0.0000322 secs] 4077K->169K(15872K), 0.0000465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.094: [GC 0.094: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4077K->169K(15872K), 0.0000465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.094: [GC 0.094: [DefNew: 3909K->0K(4928K), 0.0000315 secs] 4077K->169K(15872K), 0.0000452 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.095: [GC 0.095: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4077K->169K(15872K), 0.0000476 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.095: [GC 0.095: [DefNew: 3909K->0K(4928K), 0.0000335 secs] 4077K->169K(15872K), 0.0000482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.096: [GC 0.096: [DefNew: 3909K->0K(4928K), 0.0000325 secs] 4077K->169K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.096: [GC 0.096: [DefNew: 3909K->0K(4928K), 0.0000318 secs] 4077K->169K(15872K), 0.0000462 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.097: [GC 0.097: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4077K->169K(15872K), 0.0000465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.097: [GC 0.097: [DefNew: 3909K->0K(4928K), 0.0000325 secs] 4077K->169K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.098: [GC 0.098: [DefNew: 3909K->0K(4928K), 0.0000424 secs] 4077K->169K(15872K), 0.0000564 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.098: [GC 0.098: [DefNew: 3909K->0K(4928K), 0.0000342 secs] 4077K->169K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.099: [GC 0.099: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4078K->169K(15872K), 0.0000465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.099: [GC 0.099: [DefNew: 3909K->0K(4928K), 0.0000506 secs] 4078K->169K(15872K), 0.0000643 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.099: [GC 0.099: [DefNew: 3909K->0K(4928K), 0.0000356 secs] 4078K->169K(15872K), 0.0000496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.100: [GC 0.100: [DefNew: 3909K->0K(4928K), 0.0000335 secs] 4078K->169K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.100: [GC 0.100: [DefNew: 3909K->0K(4928K), 0.0000325 secs] 4078K->169K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.101: [GC 0.101: [DefNew: 3909K->0K(4928K), 0.0000325 secs] 4078K->170K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.101: [GC 0.101: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4078K->170K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.102: [GC 0.102: [DefNew: 3909K->0K(4928K), 0.0000369 secs] 4078K->170K(15872K), 0.0000547 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.102: [GC 0.102: [DefNew: 3909K->1K(4928K), 0.0000349 secs] 4078K->170K(15872K), 0.0000493 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.103: [GC 0.103: [DefNew: 3909K->1K(4928K), 0.0000777 secs] 4078K->170K(15872K), 0.0001026 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.104: [GC 0.104: [DefNew: 3909K->1K(4928K), 0.0000564 secs] 4078K->170K(15872K), 0.0000900 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.104: [GC 0.104: [DefNew: 3909K->1K(4928K), 0.0000400 secs] 4078K->170K(15872K), 0.0000541 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.105: [GC 0.105: [DefNew: 3909K->1K(4928K), 0.0000352 secs] 4078K->170K(15872K), 0.0000482 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.105: [GC 0.105: [DefNew: 3909K->1K(4928K), 0.0000431 secs] 4078K->170K(15872K), 0.0000571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.106: [GC 0.106: [DefNew: 3909K->1K(4928K), 0.0000363 secs] 4079K->170K(15872K), 0.0000479 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.106: [GC 0.106: [DefNew: 3909K->1K(4928K), 0.0000339 secs] 4079K->170K(15872K), 0.0000452 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.106: [GC 0.106: [DefNew: 3909K->1K(4928K), 0.0000332 secs] 4079K->170K(15872K), 0.0000445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.107: [GC 0.107: [DefNew: 3909K->1K(4928K), 0.0000332 secs] 4079K->170K(15872K), 0.0000438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.107: [GC 0.107: [DefNew: 3909K->1K(4928K), 0.0000373 secs] 4079K->170K(15872K), 0.0000496 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.108: [GC 0.108: [DefNew: 3909K->1K(4928K), 0.0000486 secs] 4079K->171K(15872K), 0.0000633 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.108: [GC 0.108: [DefNew: 3909K->1K(4928K), 0.0000397 secs] 4079K->171K(15872K), 0.0000520 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.109: [GC 0.109: [DefNew: 3909K->1K(4928K), 0.0000397 secs] 4079K->171K(15872K), 0.0000530 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.109: [GC 0.109: [DefNew: 3909K->1K(4928K), 0.0000400 secs] 4079K->171K(15872K), 0.0000537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.110: [GC 0.110: [DefNew: 3909K->0K(4928K), 0.0000328 secs] 4079K->171K(15872K), 0.0000445 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.110: [GC 0.110: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4079K->171K(15872K), 0.0000424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.111: [GC 0.111: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4079K->171K(15872K), 0.0000428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.111: [GC 0.111: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4079K->171K(15872K), 0.0000421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.112: [GC 0.112: [DefNew: 3909K->0K(4928K), 0.0000318 secs] 4079K->171K(15872K), 0.0000434 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.112: [GC 0.112: [DefNew: 3909K->0K(4928K), 0.0000315 secs] 4079K->171K(15872K), 0.0000428 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.113: [GC 0.113: [DefNew: 3909K->0K(4928K), 0.0000315 secs] 4079K->171K(15872K), 0.0000424 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.113: [GC 0.113: [DefNew: 3909K->0K(4928K), 0.0000342 secs] 4079K->171K(15872K), 0.0000462 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.113: [GC 0.113: [DefNew: 3909K->0K(4928K), 0.0000311 secs] 4079K->171K(15872K), 0.0000421 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.114: [GC 0.114: [DefNew: 3909K->0K(4928K), 0.0000301 secs] 4079K->171K(15872K), 0.0000417 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.114: [GC 0.114: [DefNew: 3909K->0K(4928K), 0.0000294 secs] 4079K->171K(15872K), 0.0000397 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.115: [GC 0.115: [DefNew: 3909K->0K(4928K), 0.0000298 secs] 4079K->171K(15872K), 0.0000400 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.115: [GC 0.115: [DefNew: 3909K->0K(4928K), 0.0000342 secs] 4080K->171K(15872K), 0.0000968 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.116: [GC 0.116: [DefNew: 3909K->0K(4928K), 0.0000606 secs] 4080K->171K(15872K), 0.0000766 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.116: [GC 0.116: [DefNew: 3909K->0K(4928K), 0.0000523 secs] 4080K->171K(15872K), 0.0000694 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.117: [GC 0.117: [DefNew: 3909K->1K(4928K), 0.0000445 secs] 4080K->172K(15872K), 0.0000592 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.118: [GC 0.118: [DefNew: 3909K->1K(4928K), 0.0000346 secs] 4080K->172K(15872K), 0.0000465 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.118: [GC 0.118: [DefNew: 3909K->1K(4928K), 0.0000400 secs] 4080K->172K(15872K), 0.0000537 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.118: [GC 0.118: [DefNew: 3909K->1K(4928K), 0.0000332 secs] 4080K->172K(15872K), 0.0000448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.119: [GC 0.119: [DefNew: 3909K->1K(4928K), 0.0000349 secs] 4080K->172K(15872K), 0.0000469 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.119: [GC 0.119: [DefNew: 3909K->1K(4928K), 0.0000335 secs] 4080K->172K(15872K), 0.0000448 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.120: [GC 0.120: [DefNew: 3909K->1K(4928K), 0.0000325 secs] 4080K->172K(15872K), 0.0000438 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.120: [GC 0.120: [DefNew: 3909K->1K(4928K), 0.0000332 secs] 4081K->172K(15872K), 0.0000441 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
0.121: [GC 0.121: [DefNew: 3909K->1K(4928K), 0.0000311 secs] 4081K->172K(15872K), 0.0000414 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
